a52dec 0.7.4-11
abseil-cpp 20211102.0-1
accounts-qml-module 0.7-4
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alsa-card-profiles 1:0.3.43-1
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
aom 3.2.0-1
appmenu-gtk-module 0.7.6-1
appstream 0.15.1-2
appstream-qt 0.15.1-2
archlinux-appstream-data 20220107-1
archlinux-keyring 20211028-1
argon2 20190702-4
aribb24 1.0.3-3
ark 21.12.1-1
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.89.0-1
attr 2.5.1-1
audit 3.0.6-5
aurvote-git 1.9.r7.gfd413f1-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
baloo 5.89.0-1
baloo-widgets 21.12.1-1
base 2-2
bash 5.1.012-1
binutils 2.36.1-3
bison 3.8.2-1
bitwarden 1.30.0-1
bluedevil 1:5.23.5-1
bluez 5.63-1
bluez-libs 5.63-1
bluez-qt 5.89.0-1
bolt 0.9.1-1
boost-libs 1.78.0-1
brave-bin 1:1.34.80-1
breeze 5.23.5-1
breeze-gtk 5.23.5-1
breeze-icons 5.89.0-1
brotli 1.0.9-7
btop 1.1.4-1
btrfs-progs 5.15.1-3
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.74-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
celt 0.11.3-4
cfitsio 1:4.0.0-1
cifs-utils 6.14-1
cmake 3.22.1-5
convertlit 1.8-10
coreutils 9.0-2
cryptsetup 2.4.2-3
curl 7.81.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
diffutils 3.8-1
discord 0.0.16-1
discount 2.2.7-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dolphin 21.12.1-1
dolphin-plugins 21.12.1-1
dosfstools 4.2-1
double-conversion 3.1.7-1
drkonqi 5.23.5-1
e2fsprogs 1.46.5-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.5-1
efibootmgr 17-2
efivar 37-4
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron 16.0.6-1
electron11 11.5.0-3
electron14 14.2.3-1
elfutils 0.186-2
emacs 27.2-1
enchant 2.3.2-1
exiv2 0.27.5-1
expat 2.4.2-1
faad2 2.10.0-1
fakeroot 1.26-1
ffmpeg 2:4.4.1-1
ffmpegthumbnailer 2.2.2-2
ffmpegthumbs 21.12.1-1
fftw 3.3.10-1
file 5.41-1
filesystem 2021.12.07-1
findutils 4.8.0-1
firefox 95.0.2-1
firewalld 1.0.2-2
fish 3.3.1-1
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.2.4-1
fontconfig 2:2.13.94-2
frameworkintegration 5.89.0-1
freetype2 2.11.1-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.1.0-3
gcc-libs 11.1.0-3
gcr 3.41.0-1
gd 2.3.3-3
gdb 11.1-4
gdb-common 11.1-4
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.55.0-3
giflib 5.2.1-2
git 2.34.1-1
github-desktop-bin 2.9.6-1
glib-networking 1:2.70.1-1
glib2 2.70.2-1
glibc 2.33-5
glibmm 2.66.2-1
glslang 11.7.1-3
glu 9.0.2-1
gmp 6.2.1-1
gnome-keyring 1:40.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.2-2
gobject-introspection-runtime 1.70.0-4
gparted 1.3.1-1
gpgme 1.16.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphicsmagick 1.3.37-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-3
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.19-1
gspell 1.8.4-1
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gstreamer 1.18.5-1
gtest 1.11.0-3
gtk-update-icon-cache 1:4.6.0-1
gtk2 2.24.33-2
gtk3 1:3.24.31-1
gtkmm3 3.24.5-2
guile 2.2.7-2
gwenview 21.12.1-1
gzip 1.11-1
harfbuzz 3.2.0-1
harfbuzz-icu 3.2.0-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.1.2-1
