accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
aha 0.5.1-2
alsa-card-profiles 1:0.3.71-2
alsa-lib 1.2.9-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
aom 3.6.1-1
appstream 0.16.2-1
appstream-qt 0.16.2-1
archlinux-appstream-data 20230526-1
archlinux-keyring 20230504-1
argon2 20190702-5
ark 23.04.2-1
at-spi2-core 2.48.3-1
attica 5.107.0-1
attr 2.5.1-3
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
baloo 5.107.0-1
baloo-widgets 23.04.2-1
base 3-1
base-devel 1-1
bash 5.1.016-4
binutils 2.40-6
bison 3.8.2-5
bluedevil 1:5.27.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.107.0-1
bolt 0.9.5-1
boost-libs 1.81.0-6
breeze 5.27.5-1
breeze-gtk 5.27.5-1
breeze-icons 5.107.0-1
breeze-plymouth 5.27.5-1
bridge-utils 1.7.1-1
brotli 1.0.9-12
btrfs-progs 6.3.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.90-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cantarell-fonts 1:0.303.1-1
catatonit 0.1.7-2
cdparanoia 10.2-8
cfitsio 1:4.2.0-1
cifs-utils 7.0-3
clinfo 3.0.21.02.21-1
clipboard-bin 0.8.0-1
confuse 3.3-3
conmon 1:2.1.7-1
containerd 1.7.2-1
containers-common 1:0.52.0-2
convertlit 1.8-11
coreutils 9.3-1
criu 3.18-1
crun 1.8.5-1
cryptsetup 2.6.1-3
curl 8.1.2-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dhclient 4.4.3.P1-2
dhcp 4.4.3.P1-2
dhcpcd 10.0.1-1
diffutils 3.10-1
discount 2.2.7.c-1
discover 5.27.5-1
distrobox 1.4.2.1-3
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docker 1:24.0.2-1
dolphin 23.04.2-1
dolphin-plugins 23.04.2-1
dosfstools 4.2-3
double-conversion 3.3.0-1
drkonqi 5.27.5-1
duktape 2.7.0-5
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efivar 38-3
ell 0.57-1
exiv2 0.28.0-1
expat 2.5.0-1
fakeroot 1.31-2
ffmpeg 2:6.0-8
ffmpegthumbs 23.04.2-1
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
fish 3.6.1-1
flac 1.4.2-1
flashrom 1.2-4
flatpak 1:1.15.4-1
flatpak-kcm 5.27.5-1
flex 2.6.4-5
fontconfig 2:2.14.2-1
frameworkintegration 5.107.0-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.13-2
fuse-common 3.14.1-1
fuse3 3.14.1-1
fwupd 1.9.2-1
fwupd-efi 1.4-1
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.5-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gdb 13.1-3
gdb-common 13.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.21.1-5
ghostscript 10.01.1-1
giflib 5.2.1-2
git 2.41.0-1
github-desktop-bin 3.2.1_linux1-1
glib-networking 1:2.76.0-1
glib2 2.76.3-1
glibc 2.37-3
glu 9.0.2-3
gmp 6.2.1-2
gnome-keyring 1:42.1-3
gnu-free-fonts 20120503-8
gnupg 2.2.41-1
gnutls 3.8.0-1
gperftools 2.10-3
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.22.4-10
gsettings-desktop-schemas 44.0-1
gsm 1.0.22-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.3-5
gst-plugins-base 1.22.3-5
gst-plugins-base-libs 1.22.3-5
gstreamer 1.22.3-5
gtk-update-icon-cache 1:4.10.4-1
gtk3 1:3.24.38-1
gtk4 1:4.10.4-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gwenview 23.04.2-1
gzip 1.12-2
harfbuzz 7.3.0-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
htop 3.2.2-1
hwdata 0.371-1
hwloc 2.9.1-1
iana-etc 20230405-1
icu 72.1-2
ijs 0.35-5
imath 3.1.9-1
iniparser 4.1-4
intel-gpu-tools 1.27-1
intel-ucode 20230516.a-1
iproute2 6.3.0-2
iptables 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
jansson 2.14-2
jasper 4.0.0-1
jbig2dec 0.19-1
json-c 0.16-1
json-glib 1.6.6-2
kaccounts-integration 23.04.2-1
kactivities 5.107.0-1
kactivities-stats 5.107.0-1
kactivitymanagerd 5.27.5-1
karchive 5.107.0-1
kate 23.04.2-1
kauth 5.107.0-1
kbd 2.5.1-2
kbookmarks 5.107.0-1
kcalc 23.04.2-1
kcmutils 5.107.0-1
kcodecs 5.107.0-1
kcolorpicker 0.2.0-1
kcompletion 5.107.0-1
kconfig 5.107.0-1
kconfigwidgets 5.107.0-1
kcoreaddons 5.107.0-1
kcrash 5.107.0-1
kdbusaddons 5.107.0-1
kde-cli-tools 5.27.5.1-1
kde-gtk-config 5.27.5-1
kdeclarative 5.107.0-1
kdecoration 5.27.5-1
kded 5.107.0-1
kdegraphics-mobipocket 23.04.2-1
kdegraphics-thumbnailers 23.04.2-1
kdelibs4support 5.107.0-1
kdeplasma-addons 5.27.5-1
kdesu 5.107.0-1
kdialog 23.04.2-1
kdnssd 5.107.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.107.0-1
keyutils 1.6.3-2
kfilemetadata 5.107.0-1
kgamma5 5.27.5-1
kglobalaccel 5.107.0-1
kguiaddons 5.107.0-1
kholidays 1:5.107.0-1
khotkeys 5.27.5-1
ki18n 5.107.0-1
kiconthemes 5.107.0-1
kidletime 5.107.0-1
kimageannotator 0.6.1-1
kimageformats 5.107.0-1
kinfocenter 5.27.5-1
kio 5.107.0-1
kio-admin 23.04.2-1
kio-extras 23.04.2-1
kio-fuse 5.0.1-1
kirigami2 5.107.0-1
kitemmodels 5.107.0-1
kitemviews 5.107.0-1
kjobwidgets 5.107.0-1
kmenuedit 5.27.5-1
kmod 30-3
knewstuff 5.107.0-1
knotifications 5.107.0-1
knotifyconfig 5.107.0-1
konsole 23.04.2-1
kpackage 5.107.0-1
kparts 5.107.0-1
kpeople 5.107.0-1
kpipewire 5.27.5-1
kpty 5.107.0-1
kquickcharts 5.107.0-1
krb5 1.20.1-1
krunner 5.107.0-1
kscreen 5.27.5-1
kscreenlocker 5.27.5-1
kservice 5.107.0-1
ksshaskpass 5.27.5-1
ksystemstats 5.27.5-1
ktexteditor 5.107.0-1
ktextwidgets 5.107.0-1
kunitconversion 5.107.0-1
kuserfeedback 1.2.0-1
kwallet 5.107.0-1
kwallet-pam 5.27.5-1
kwalletmanager 23.04.2-1
kwayland 5.107.0-1
kwayland-integration 5.27.5-1
kwidgetsaddons 5.107.0-1
kwin 5.27.5-2
kwindowsystem 5.107.0-1
kwrited 5.27.5-1
kxmlgui 5.107.0-1
l-smash 2.14.5-3
lame 3.100-4
layer-shell-qt 5.27.5-1
lcms2 2.15-1
ldb 2:2.7.2-2
ldns 1.8.3-2
less 1:633-1
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libaio 0.3.113-2
libarchive 3.6.2-2
libass 0.17.1-1
libassuan 2.5.5-2
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libblockdev 2.28-4
libbluray 1.3.4-1
libbpf 1.2.0-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.8-2
libcamera 0.0.5-1
libcamera-ipa 0.0.5-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-1
libcap-ng 0.8.3-2
libcbor 0.10.2-1
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcups 1:2.4.5-1
libdaemon 0.14-5
libdatrie 0.2.13-4
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdecor 0.1.1-2
libdmtx 0.7.7-1
libdrm 2.4.115-1
libedit 20221030_3.1-1
libelf 0.189-1
libepoxy 1.5.10-2
libevdev 1.13.1-1
libevent 2.1.12-4
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libftdi 1.5-5
libgcrypt 1.10.2-1
libglvnd 1.6.0-1
libgpg-error 1.47-1
libgudev 237-2
libgusb 0.4.6-1
libical 3.0.16-4
libice 1.1.1-2
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimobiledevice 1.3.0-9
libinih 56-1
libinput 1.23.0-1
libisl 0.26-1
libjcat 0.1.13-2
libjpeg-turbo 2.1.5.1-1
libjxl 0.8.1-2
libkdcraw 23.04.2-1
libkexiv2 23.04.2-1
libksba 1.6.3-1
libkscreen 5.27.5-1
libksysguard 5.27.5-1
liblc3 1.0.3-1
libldac 2.0.2.3-1
libldap 2.6.4-2
libluv 1.44.2_1-2
libmalcontent 0.11.1-2
libmbim 1.28.4-1
libmd 1.0.4-1
libmfx 23.2.2-1
libmm-glib 1.20.6-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmtp 1.1.21-1
libmysofa 1.3.1-2
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-2
libnfnetlink 1.0.2-1
libnftnl 1.2.5-1
libnghttp2 1.54.0-1
libnice 0.1.21-2
libnl 3.7.0-3
libnm 1.42.6-1
libnotify 0.8.2-1
libnsl 2.0.0-3
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.1-1
libp11-kit 0.24.1-1
libpaper 2.1.0-1
libpcap 1.10.4-1
libpciaccess 0.17-1
libpgm 5.3.128-3
